Group,Car Type,Engine Size (L),Price ($),Horse Power (hp),Weight (kg)
Brand A,,4,8800,76,929
Brand A,,4,9000,75,949
Brand A,,4,6800,49,840
Brand A,,4,10700,86,1109
Brand A,,4,9100,69,959
Brand A,,4,7900,67,900
Brand A,,4,14000,92,1157
Brand A,,8,40000,170,2136
Brand A,,8,35100,142,1824
Brand A,,8,40000,167,2208
Brand A,,4,9800,65,1071
Brand A,,4,9800,65,920
Brand A,,8,30200,130,1742
Brand A,,8,36000,215,2077
Brand A,,6,20000,85,1334
Brand A,,4,14000,88,1224
Brand A,,4,14000,88,1301
Brand A,,4,14000,92,1289
Brand A,,4,14000,88,1292
Brand A,,4,9800,66,810
Brand A,,8,30200,139,1442
Brand A,,8,35100,153,1858
Brand A,,8,35100,153,1869
Brand A,,8,42900,198,1953
Brand A,,8,30200,140,1932
Brand A,,8,30200,140,2087
Brand A,,8,30200,137,1819
Brand A,,8,35100,152,1897
Brand A,,8,30200,140,1863
Brand A,,6,25000,78,1608
Brand A,,6,20000,88,1377
Brand A,,6,23200,112,1276
Brand A,,6,25000,98,1586
Brand A,,8,30200,129,1676
Brand A,,8,35100,158,1963
Brand A,,8,35100,148,2096
Brand A,,6,25000,72,1421
Brand A,,6,25000,88,1359
Brand A,,6,20000,,1294
Brand A,,6,20000,85,1164
Brand A,,6,20000,81,1355
Brand A,,8,30200,140,1509
Brand A,,4,14000,,1307
Brand A,,4,14000,86,1256
Brand A,,4,14000,89,1240
Brand A,,8,30200,129,1426
Brand A,,6,25000,88,1413
Brand A,,4,12200,86,1078
Brand A,,4,12200,86,1002
Brand A,,6,17100,97,1343
Brand A,,4,12200,85,1040
Brand A,,4,14000,83,1188
Brand A,,4,9800,,921
Brand A,,4,12200,80,1103
Brand A,,4,14000,72,1154
Brand A,,4,12000,79,1181
Brand A,,8,35100,149,1951
Brand A,,8,35100,153,1815
Brand A,,6,25000,88,1486
Brand A,,8,30200,140,1552
Brand A,,8,30400,193,2129
Brand A,,4,9800,68,920
Brand A,,4,9800,68,961
Brand A,,4,10700,72,1031
Brand A,,4,10700,75,992
Brand A,,4,9100,67,884
Brand A,,4,8100,60,792
Brand A,,4,9100,67,833
Brand A,,4,9100,53,808
Brand A,,4,9100,60,810
Brand A,,4,12000,97,1120
Brand A,,4,9100,53,808
Brand A,,4,9100,67,884
Brand A,,4,10700,75,995
Brand A,,4,8600,65,889
Brand A,,3,7000,90,956
Brand A,,4,12000,75,1144
Brand A,,4,12000,74,1186
Brand A,,4,9100,68,893
Brand A,,4,9100,68,911
Brand A,,4,9100,68,887
Brand A,,4,7800,52,893
Brand A,,4,8600,65,950
Brand A,,3,7000,97,1049
Brand A,,3,8000,110,1224
Brand A,,3,7000,100,1089
Brand A,,4,14600,67,1463
Brand A,,6,16800,120,1719
Brand A,,5,18300,77,1589
Brand A,,4,12200,86,999
Brand A,,6,15500,107,1112
Brand A,,8,30200,130,1933
Brand A,,8,35100,138,1780
Brand A,,4,9800,70,956
Brand A,,8,42900,198,2228
Brand A,,8,42900,208,2085
Brand A,,8,30200,139,1607
Brand A,,6,25000,72,1544
Brand A,,6,20000,85,1346
Brand A,,6,20000,85,1382
Brand A,,4,12000,88,972
Brand A,,6,26200,85,1357
Brand A,,8,35000,105,1676
Brand A,,8,26000,110,1514
Brand A,,8,26000,90,1539
Brand A,,8,26000,110,1827
Brand A,,8,35000,160,2005
Brand A,,6,17300,115,1215
Brand A,,8,35000,180,1649
Brand A,,4,15100,85,1285
Brand A,,8,35000,180,2025
Brand A,,4,11600,81,999
Brand A,,4,11600,90,955
Brand A,,4,11600,75,971
Brand A,,4,9700,78,1035
Brand A,,4,7900,70,933
Brand A,,4,12000,87,1341
Brand A,,4,12000,88,1472
Brand A,,4,12000,88,1331
Brand A,,4,11000,87,1202
Brand A,,4,14100,71,1436
Brand A,,4,14100,80,1454
Brand A,,6,16300,133,1535
Brand A,,4,12200,96,1035
Brand A,,8,34000,160,1624
Brand A,,4,8600,64,844
Brand A,,4,9100,70,880
Brand A,,8,36000,170,2094
Brand A,,6,19800,95,1396
Brand A,,6,19800,95,1275
Brand A,,6,19800,95,1307
Brand A,,8,31800,150,1907
Brand A,,8,31800,150,1843
Brand A,,8,44000,215,1940
Brand A,,8,31800,150,1861
Brand A,,6,22500,95,1703
Brand A,,8,31800,150,2024
Brand A,,4,10500,63,997
Brand A,,4,10500,63,956
Brand A,,4,10500,70,968
Brand A,,4,10500,70,990
Brand A,,4,13500,84,1121
Brand A,,4,13500,84,1073
Brand A,,4,15600,105,1235
Brand A,,8,38300,175,1875
Brand A,,8,31800,150,1835
Brand A,,6,22500,105,1548
Brand A,,6,22500,105,1626
Brand A,,8,31800,150,1546
Brand A,,6,22500,95,1469
Brand A,,6,22500,105,1404
Brand A,,6,22500,100,1455
Brand A,,6,22500,100,1634
Brand A,,8,31800,150,1773
Brand A,,6,22500,100,1544
Brand A,,4,14000,78,1166
Brand A,,8,40000,175,2009
Brand A,,8,40000,175,1973
Brand A,,8,45500,225,1991
Brand A,,8,40000,170,2101
Brand A,,6,25000,100,1477
Brand A,,8,40000,180,1899
Brand A,,8,40000,230,1925
Brand A,,4,11200,85,1159
Brand A,,6,23100,115,1460
Brand A,,6,23100,105,1591
Brand A,,4,15100,90,1231
Brand A,,4,15100,90,1150
Brand A,,8,40000,175,2313
Brand A,,4,15100,88,1233
Brand A,,6,25000,110,1640
Brand A,,4,9600,69,985
Brand A,,4,10100,83,991
Brand A,,4,10000,,1044
Brand A,,4,7900,58,821
Brand A,,4,8500,,826
Brand A,,4,12100,110,1260
Brand A,,4,10400,95,1069
Brand A,,4,12100,115,1258
Brand A,,4,12100,110,1197
Brand A,,4,12100,115,1202
Brand A,,4,9700,67,893
Brand A,,4,9700,67,965
Brand A,,4,10800,93,1076
Brand A,,4,9700,67,929
Brand A,,4,9700,88,1026
Brand A,,4,13400,95,1132
Brand A,,4,14400,96,1199
Brand A,,4,7100,65,798
Brand A,,4,7100,65,826
Brand A,,4,9700,88,945
Brand A,,4,9700,75,1019
Brand A,,4,8900,60,886
Brand A,,4,9700,75,970
Brand A,,4,9700,75,977
Brand A,,4,10800,75,1019
Brand A,,4,10800,75,1058
Brand A,,4,10800,70,1010
Brand A,,4,11300,95,1025
Brand A,,4,13400,90,1220
Brand A,,4,11300,95,1067
Brand A,,4,13400,96,1216
Brand A,,4,11300,95,1003
Brand A,,4,13400,95,1152
Brand A,,4,7600,52,742
Brand A,,6,16800,116,1305
Brand A,,6,15600,108,1319
Brand A,,6,15600,122,1263
Brand A,,4,7900,58,790
Brand A,,4,8900,62,923
Brand A,,4,12000,97,1128
Brand A,,4,12200,88,1125
Brand A,,4,8900,62,830
Brand A,,4,9700,46,826
Brand A,,4,12100,76,1130
Brand A,,4,9000,48,1051
Brand A,,4,9000,71,1000
Brand A,,4,7900,67,883
Brand A,,4,9700,78,986
Brand A,,4,10500,74,986
Brand A,,4,9700,60,825
Brand A,,4,9700,52,959
Brand A,,4,9000,48,938
Brand A,,4,9000,48,893
Brand A,,4,9700,78,873
Brand A,,4,8900,71,866
Brand A,,4,10500,74,891
Brand A,,4,9000,70,872
Brand A,,4,9000,70,872
Brand A,,4,9700,71,821
Brand A,,4,9800,76,965
Brand A,,4,8900,71,896
Brand A,,4,9700,48,890
Brand A,,4,9700,46,878
Brand A,,4,9700,54,1014
Brand A,,4,12100,112,1291
Brand A,,4,12100,112,1320
Brand A,,4,12100,98,1325
Brand A,,4,13000,102,1418
Brand A,,6,16300,125,1413
Brand A,,6,14500,76,1422
